;lon;lat;landmask;gx;gy
368;68.68209075927734;68.69319915771484;1.0;239.0;196.0
369;68.43798828125;68.48867797851562;1.0;240.0;196.0
408;68.362060546875;68.987060546875;1.0;238.0;197.0
409;68.11766052246094;68.78185272216797;1.0;239.0;197.0
410;67.87805938720703;68.57640838623047;1.0;240.0;197.0
448;67.78816986083984;69.07463073730469;1.0;238.0;198.0
449;67.54845428466797;68.86849975585938;1.0;239.0;198.0
487;67.44912719726562;69.36697387695312;1.0;237.0;199.0
488;67.20941162109375;69.16014862060547;1.0;238.0;199.0
489;66.9745101928711;68.95310974121094;1.0;239.0;199.0
525;72.08749389648438;73.13961029052734;1.0;219.0;200.0
526;66.86053466796875;69.45133209228516;1.0;237.0;200.0
527;66.62583923339844;69.24359893798828;1.0;238.0;200.0
528;66.39588165283203;69.03565979003906;1.0;239.0;200.0
562;71.74243927001953;73.44355773925781;1.0;218.0;201.0
563;66.98524475097656;70.1582260131836;1.0;234.0;201.0
564;66.74077606201172;69.95022583007812;1.0;235.0;201.0
565;66.50143432617188;69.74199676513672;1.0;236.0;201.0
566;66.26705932617188;69.5335693359375;1.0;237.0;201.0
567;66.03751373291016;69.32493591308594;1.0;238.0;201.0
602;71.02959442138672;73.5440902709961;1.0;218.0;202.0
603;68.19859313964844;71.69673156738281;1.0;227.0;202.0
604;66.86430358886719;70.65825653076172;1.0;232.0;202.0
605;66.61477661132812;70.44976806640625;1.0;233.0;202.0
606;66.37062072753906;70.24105072021484;1.0;234.0;202.0
610;65.44450378417969;69.40414428710938;1.0;238.0;202.0
644;70.30797576904297;73.64210510253906;1.0;218.0;203.0
645;69.96898651123047;73.43729400634766;1.0;219.0;203.0
646;69.63839721679688;73.2320327758789;1.0;220.0;203.0
647;69.31591796875;73.0263442993164;1.0;221.0;203.0
648;69.00128173828125;72.82023620605469;1.0;222.0;203.0
649;68.6942138671875;72.61373901367188;1.0;223.0;203.0
650;68.39447021484375;72.40687561035156;1.0;224.0;203.0
651;68.101806640625;72.19966125488281;1.0;225.0;203.0
652;67.81598663330078;71.99211120605469;1.0;226.0;203.0
653;67.53678894042969;71.78424072265625;1.0;227.0;203.0
654;67.26399230957031;71.5760726928711;1.0;228.0;203.0
655;66.99740600585938;71.36762237548828;1.0;229.0;203.0
656;66.48204040527344;70.94993591308594;1.0;231.0;203.0
657;66.23289489746094;70.74073028564453;1.0;232.0;203.0
663;64.84688568115234;69.48119354248047;1.0;238.0;203.0
707;66.34200286865234;71.4507064819336;1.0;229.0;204.0
708;66.08768463134766;71.24099731445312;1.0;230.0;204.0
709;65.8390884399414;71.03105926513672;1.0;231.0;204.0
715;64.45797729492188;69.76727294921875;1.0;237.0;204.0
716;64.2447280883789;69.5560531616211;1.0;238.0;204.0
767;63.845664978027344;69.84074401855469;1.0;237.0;205.0
817;63.228851318359375;69.91195678710938;1.0;237.0;206.0
867;62.60763168334961;69.98089599609375;1.0;237.0;207.0
868;62.41191864013672;69.76727294921875;1.0;238.0;207.0
918;61.792510986328125;69.8331298828125;1.0;238.0;208.0
966;61.35238265991211;70.11180114746094;1.0;237.0;209.0
967;61.16903305053711;69.89667510986328;1.0;238.0;209.0
968;60.47401428222656;69.03565979003906;1.0;242.0;209.0
969;60.30927276611328;68.8203125;1.0;243.0;209.0
1013;60.71857452392578;70.1737289428711;1.0;237.0;210.0
1014;60.03325653076172;69.31011962890625;1.0;241.0;210.0
1058;60.25511932373047;70.44976806640625;1.0;236.0;211.0
1059;60.08079147338867;70.23326873779297;1.0;237.0;211.0
47;85.38007354736328;73.89471435546875;1.0;207.0;188.0
73;85.28524780273438;74.2139892578125;1.0;206.0;189.0
74;84.75286102294922;74.04048919677734;1.0;207.0;189.0
75;84.23210906982422;73.86572265625;1.0;208.0;189.0
101;85.18644714355469;74.53345489501953;1.0;205.0;190.0
102;84.64417266845703;74.35955810546875;1.0;206.0;190.0
104;83.59564971923828;74.00797271728516;1.0;208.0;190.0
105;83.08877563476562;73.83036804199219;1.0;209.0;190.0
132;85.08343505859375;74.85310363769531;1.0;204.0;191.0
137;82.44365692138672;73.96904754638672;1.0;209.0;191.0
138;81.95093536376953;73.78868865966797;1.0;210.0;191.0
139;80.08724975585938;73.05687713623047;1.0;214.0;191.0
175;81.29777526855469;73.92375946044922;1.0;210.0;192.0
176;80.8194580078125;73.74073791503906;1.0;211.0;192.0
177;80.3519515991211;73.55670166015625;1.0;212.0;192.0
178;79.89496612548828;73.37169647216797;1.0;213.0;192.0
179;79.44818878173828;73.18575286865234;1.0;214.0;192.0
359;75.56402587890625;73.09971618652344;1.0;217.0;196.0
403;74.89042663574219;73.21350860595703;1.0;217.0;197.0
444;74.20759582519531;73.32500457763672;1.0;217.0;198.0
445;73.82784271240234;73.12732696533203;1.0;218.0;198.0
7;99.80609130859375;76.64446258544922;1.0;187.0;186.0
8;99.00850677490234;76.51190948486328;1.0;188.0;186.0
9;98.22672271728516;76.37684631347656;1.0;189.0;186.0
10;97.46056365966797;76.2393569946289;1.0;190.0;186.0
22;96.8699951171875;76.41914367675781;1.0;190.0;187.0
40;96.26348876953125;76.59752655029297;1.0;190.0;188.0
41;95.50547790527344;76.45384979248047;1.0;191.0;188.0
42;94.76364135742188;76.30792236328125;1.0;192.0;188.0
43;94.03771209716797;76.1598129272461;1.0;193.0;188.0
44;93.32740783691406;76.00959014892578;1.0;194.0;188.0
45;92.63243865966797;75.85733032226562;1.0;195.0;188.0
70;91.99787902832031;76.0245361328125;1.0;195.0;189.0
71;91.31690979003906;75.86841583251953;1.0;196.0;189.0
72;90.65106201171875;75.71041107177734;1.0;197.0;189.0
95;90.0;75.87210845947266;1.0;197.0;190.0
96;89.34893798828125;75.71041107177734;1.0;198.0;190.0
97;88.7126693725586;75.54698181152344;1.0;199.0;190.0
98;88.09085083007812;75.38188171386719;1.0;200.0;190.0
99;87.48312377929688;75.21517944335938;1.0;201.0;190.0
